Date,Open,High,Low,Close,Volume,Name
2017-10-04,38.54,38.74,38.46,38.5,1267459,PDCO
2017-10-05,38.51,38.78,38.21,38.5,838474,PDCO
2017-10-06,38.41,38.49,37.7,37.87,1499310,PDCO
2017-10-09,37.82,38.06,37.45,37.64,1345731,PDCO
2017-10-10,37.54,37.5804,36.75,36.9,1212207,PDCO
2017-10-11,36.73,37.1,36.56,36.95,1438229,PDCO
2017-10-12,36.73,37.43,36.40,37.23,988990,PDCO
2017-10-13,37.14,37.49,37.04,37.41,783840,PDCO
2017-10-16,37.3,37.89,37.3,37.78,1043818,PDCO
2017-10-17,37.79,38.21,37.75,37.89,997197,PDCO
2017-10-18,38.04,38.27,37.84,38.13,1046194,PDCO
2017-10-19,38.11,38.85,38.11,38.8,1069132,PDCO
2017-10-20,38.99,39.41,38.81,39.37,1188233,PDCO
2017-10-23,39.49,39.49,39.07,39.21,873152,PDCO
2017-10-24,39.35,39.87,39.3406,39.86,1343825,PDCO
2017-10-25,39.68,39.98,39.37,39.75,1249065,PDCO
2017-10-26,39.72,40.36,39.03,39.5,2308630,PDCO
2017-10-27,39.42,39.59,36.33,36.72,5353681,PDCO
2017-10-30,36.9,37.11,36.22,36.35,1586727,PDCO
2017-10-31,36.3,37.17,36.29,37.0,1147344,PDCO
2017-11-01,36.99,37.08,35.98,36.12,1268259,PDCO
2017-11-02,36.1,36.24,35.69,35.97,1049518,PDCO
2017-11-03,35.98,36.52,35.77,36.15,2109735,PDCO
2017-11-06,35.57,35.71,34.17,34.99,2704504,PDCO
2017-11-07,35.19,35.36,34.76,34.92,1228343,PDCO
2017-11-08,34.83,35.25,33.96,34.07,1860139,PDCO
2017-11-09,34.03,34.04,33.18,34.03,2164038,PDCO
2017-11-10,34.03,34.12,33.2,33.38,1636827,PDCO
2017-11-13,33.32,33.99,33.19,33.57,2534448,PDCO
2017-11-14,33.42,33.61,32.17,33.53,1724315,PDCO
2017-11-15,33.52,35.06,33.33,34.45,1567732,PDCO
2017-11-16,35.11,36.36,35.07,36.07,2778515,PDCO
2017-11-17,35.86,36.32,35.62,36.04,2170158,PDCO
2017-11-20,35.7,35.96,34.63,34.82,3154982,PDCO
2017-11-21,33.3,34.95,32.07,34.8,6334941,PDCO
2017-11-22,34.89,35.96,34.47,35.29,3535110,PDCO
2017-11-24,35.4,35.46,34.54,35.27,1034118,PDCO
