Date,Open,High,Low,Close,Adj Close,Volume
2020-03-05,26.389999,26.469999,24.950001,25.600000,25.600000,5053800
2020-03-06,24.500000,24.889999,22.820000,23.110001,23.110001,13609400
2020-03-09,20.600000,21.320000,19.000000,20.000000,20.000000,15783900
2020-03-10,20.950001,21.049999,19.740000,20.840000,20.840000,18052300
2020-03-11,20.350000,20.360001,17.680000,18.500000,18.500000,11909900
2020-03-12,14.450000,15.850000,13.490000,15.250000,15.250000,12247500
2020-03-13,17.990000,18.129999,14.900000,16.490000,16.490000,16298900
2020-03-16,14.500000,14.850000,13.250000,13.250000,13.250000,13360600
2020-03-17,13.750000,15.480000,13.000000,14.250000,14.250000,21032500
2020-03-18,13.120000,13.420000,11.520000,13.010000,13.010000,16997200
2020-03-19,12.600000,15.300000,11.710000,14.900000,14.900000,15099900
2020-03-20,15.500000,16.100000,13.960000,14.150000,14.150000,17671300
2020-03-23,14.300000,14.500000,13.350000,14.030000,14.030000,11809100
2020-03-24,14.940000,15.650000,14.520000,15.040000,15.040000,12905300
2020-03-25,15.040000,16.360001,14.400000,15.910000,15.910000,11801200
2020-03-26,16.030001,17.000000,15.230000,15.970000,15.970000,12772800
2020-03-27,15.350000,15.440000,14.730000,14.870000,14.870000,11407300
2020-03-30,14.870000,15.280000,14.350000,14.510000,14.510000,12714300
2020-03-31,14.520000,15.620000,14.310000,15.090000,15.090000,12209900
2020-04-01,14.690000,15.950000,14.170000,15.610000,15.610000,10701000
2020-04-02,15.750000,16.500000,15.620000,16.250000,16.250000,11444500
2020-04-03,16.200001,16.590000,14.910000,15.260000,15.260000,11909000
2020-04-06,16.000000,17.750000,15.850000,17.680000,17.680000,11229200
2020-04-07,19.400000,19.680000,17.400000,17.530001,17.530001,14604900
2020-04-08,17.600000,17.750000,16.830000,17.400000,17.400000,8858100
2020-04-09,17.600000,18.790001,17.360001,18.040001,18.040001,11649900
2020-04-13,18.040001,18.209999,17.379999,17.820000,17.820000,9155100
2020-04-14,18.200001,18.980000,17.920000,18.860001,18.860001,7917900
2020-04-15,18.400000,19.420000,18.059999,19.049999,19.049999,9746900
2020-04-16,19.340000,19.750000,18.719999,19.270000,19.270000,9501800
2020-04-17,19.750000,19.750000,18.700001,19.049999,19.049999,7862500
2020-04-20,18.520000,19.280001,18.340000,18.920000,18.920000,6097500
2020-04-22,18.940001,19.820000,18.799999,19.450001,19.450001,6188400
2020-04-23,19.830000,20.270000,18.870001,19.510000,19.510000,9224900
2020-04-24,19.219999,19.370001,17.350000,18.549999,18.549999,14137000
2020-04-27,19.000000,20.620001,18.840000,20.559999,20.559999,12417300
2020-04-28,21.100000,21.290001,20.100000,20.309999,20.309999,13226300
2020-04-29,20.549999,20.750000,19.920000,20.379999,20.379999,14526500
2020-04-30,20.090000,20.090000,19.219999,19.389999,19.389999,11599600
2020-05-04,18.610001,19.090000,18.150000,18.400000,18.400000,8738900
2020-05-05,18.700001,19.280001,18.290001,18.340000,18.340000,8736000
2020-05-06,18.440001,18.700001,18.000000,18.309999,18.309999,9124300
2020-05-07,18.570000,19.290001,18.320000,18.410000,18.410000,11378600
2020-05-08,18.990000,19.020000,18.070000,18.740000,18.740000,7741900
2020-05-11,19.750000,21.530001,19.620001,20.850000,20.850000,29507600
2020-05-12,21.080000,21.459999,20.299999,20.370001,20.370001,15767000
2020-05-13,20.520000,22.850000,20.400000,22.850000,22.850000,26261600
2020-05-14,22.799999,23.379999,21.820000,23.059999,23.059999,21940500
2020-05-15,22.990000,23.270000,21.950001,22.660000,22.660000,14067100
2020-05-18,23.299999,23.500000,21.740000,21.740000,21.740000,13468500
2020-05-19,21.510000,22.780001,21.420000,22.000000,22.000000,11409900
2020-05-20,22.500000,22.670000,21.910000,22.469999,22.469999,9274400
2020-05-21,22.680000,22.740000,21.520000,21.799999,21.799999,11012300
2020-05-22,21.750000,22.200001,21.680000,21.760000,21.760000,12735500
2020-05-25,22.200001,22.389999,21.610001,21.750000,21.750000,6348000
2020-05-26,22.000000,23.629999,21.990000,22.500000,22.500000,13863300
2020-05-27,22.889999,23.389999,22.740000,23.250000,23.250000,6523600
2020-05-28,23.440001,23.840000,22.840000,23.209999,23.209999,7784400
2020-05-29,23.200001,23.490000,22.450001,23.129999,23.129999,11515100
2020-06-01,23.000000,24.260000,22.750000,23.670000,23.670000,9612000
2020-06-02,23.959999,23.980000,23.219999,23.350000,23.350000,9001400
